course_id,subject,catalog_number,title,description,credits_min,credits_max,gened_attributes,career,campus,term,component,class_number,instructor_name,meeting_days,meeting_start,meeting_end,location,prereq_text,coreq_text,notes
CMLT-C110,CMLT,C110,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENG-W131,ENG,W131,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENG-W170,ENG,W170,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENG-W171,ENG,W171,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-D116,MATH,D116,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-M106,MATH,M106,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-B110,MATH,B110,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-J113,MATH,J113,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-M118,MATH,M118,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-S118,MATH,S118,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-V118,MATH,V118,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-M119,MATH,M119,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-V119,MATH,V119,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-M211,MATH,M211,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-S211,MATH,S211,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-D117,MATH,D117,,,,,,Undergraduate,IUB,,,,,,,,,,,
