Course Code,Title,Credits,Attributes,Description,Typically Offered,Sections
AAAD-A 100,AFRICAN AMERICAN DANCE COMPANY: FOUNDATIONS AND PRACTICES,2 credits,,"Emphasis on ethnic and jazz traditions although other genres are regularly preformed. Repertoire varies from semester to semester. Participation in on and off-campus concerts, workshops, and lecture demonstrations required.","Summer, Fall","Class #: Open | TuTh
Tuesday, Thursday
4:20 PM–7:20 PM
Regular Academic Session
8/25/2025–12/19/2025 | TH A217 | Stafford Berry | 20/20
Waitlist 0"
AAAD-A 110,AFRICAN AMERICAN CHORAL ENSEMBLE: FOUNDATIONS AND PRACTICES,2 credits,,"The ensemble performs music composed by, for and about blacks, including spirituals, gospel, art songs, and excerpts from operas and musicals.  Repertoire varies from semester to semester. Participation in on- and off-campus concerts, workshops, and lecture demonstrations required. No audition required.  Students meet the first day of class prepared to sing.  Vocal evaluations and part assignments will be done during class.  Ability to read music is desirable but not essential.","Summer, Fall","Class #: Open | MW
Monday, Wednesday
3:10 PM–4:40 PM
MW
Monday, Wednesday
3:10 PM–4:40 PM
MW
Monday, Wednesday
3:10 PM–4:40 PM
Regular Academic Session
8/25/2025–12/19/2025 | HD TBA
TH A219
TH A111 | Raymond Wise | 28/40
Waitlist 0"
AAAD-A 112,BLACK MUSIC OF TWO WORLDS,3 credits,COLL (CASE) A&H Breadth of Inquiry credit (383); COLL (CASE) Culture Studies: Global Civ & Culture (187),"An exploration of the relationships among musics of West and Central African people and their descendents in the United States, Latin America, and the Caribbean. Emphasis placed on the conceptual and aesthetic continuities between musical expression in Old and New World contexts-a uniformity which exists because of shared African cultural ancestry.",Fall,"Class #: Closed | TuTh
Tuesday, Thursday
11:10 AM–12:25 PM
Regular Academic Session
8/25/2025–12/19/2025 | AC C116 | Olivia Ekeh | 0/30
Waitlist 0"
AAAD-A 113,ATKINS LIVING-LEARNING CENTER FOUNDATIONAL COURSE,1 credit,,Examines the impact of African American history and culture on the nation as a whole and on the international community.,"Summer, Fall","Class #: Closed | M
Monday
6:40 PM–7:30 PM
Regular Academic Session
8/25/2025–12/19/2025 | FR C230 | Latonya Wilson | 0/22
Waitlist 0"
AAAD-A 120,SOUL REVUE: FOUNDATIONS AND PRACTICES,2 credits,,"Introduces the richness and depth of black popular tradition through authentic performance practices. Repertoire varies from semester to semester. Participation in on- and off-campus concerts, workshops, and lecture demonstrations required. Ability to read music desirable but not essential.","Summer, Fall","Class #: Open | TuTh
Tuesday, Thursday
4:20 PM–6:20 PM
Regular Academic Session
8/25/2025–12/19/2025 | TH A111 | James Strong | 34/40
Waitlist 0"
AAAD-A 150,SURVEY OF THE CULTURE OF BLACK AMERICANS,3 credits,COLL (CASE) A&H Breadth of Inquiry credit (383); COLL (CASE) Culture Studies: Diversity in U.S. (51); IUB GenEd A&H credit (190),"Explores the culture of Blacks in America viewed from a broad interdisciplinary approach, employing resources from history, literature, folklore, religion, sociology, and political science.","Spring, Summer, Fall","Class #: Closed | MW
Monday, Wednesday
12:45 PM–2:00 PM
Regular Academic Session
8/25/2025–12/19/2025 | LH 035 | George Ike | 0/45
Waitlist 1
Class #: Closed | TuTh
Tuesday, Thursday
9:35 AM–10:50 AM
Regular Academic Session
8/25/2025–12/19/2025 | WI C111 | Ashley Hayes | 0/37
Waitlist 0"
AAAD-A 156,BLACK LIBERATION STRUGGLES AGAINST JIM CROW AND APARTHEID,3 credits,COLL (CASE) Culture Studies: Global Civ & Culture (187); COLL (CASE) S&H Breadth of Inquiry credit (375); IUB GenEd S&H credit (166); IUB GenEd World Culture credit (79),"A comparative perspective on American race-relations, specifically the similarities and differences in the struggles against Jim Crow in America and against apartheid in South Africa. In both places, the late twentieth century witnessed a revolt against the legal and philosophical framework of white supremacy.",Fall,"Class #: Closed | TuTh
Tuesday, Thursday
11:10 AM–12:25 PM
Regular Academic Session
8/25/2025–12/19/2025 | WI C109 | Marshall Allen | 0/36
Waitlist 2"
AAAD-A 205,BLACK ELECTORAL POLITICS,3 credits,COLL (CASE) S&H Breadth of Inquiry credit (375),"The course will explore black participation in the formal structures of American government and in the processes by which these structures are accessed. Black participation in local, state and federal government arenas will be focused upon and the political benefits to the black community of these involvements will be assessed.",Fall,"Class #: Open | MW
Monday, Wednesday
12:45 PM–2:00 PM
Regular Academic Session
8/25/2025–12/19/2025 | PY 111 | Randal Jelks | 19/31
Waitlist 0"
AAAD-A 210,BLACK WOMEN IN THE DIASPORA,3 credits,COLL (CASE) Culture Studies: Diversity in U.S. (51); COLL (CASE) S&H Breadth of Inquiry credit (375); IUB GenEd S&H credit (166),"Interdisciplinary examination of salient aspects of black women's history, identity, and experience, including policies, cultural assumptions, and knowledge systems that affect black women's lives. While the primary focus will be North America, the lives of black women in other cultural settings within the African Diaspora will also be examined.","Summer, Fall","Class #: Closed | TuTh
Tuesday, Thursday
9:35 AM–10:50 AM
Regular Academic Session
8/25/2025–12/19/2025 | WI C109 | Candis Smith | 0/36
Waitlist 0"
AAAD-A 221,DANCE IN THE AFRICAN DIASPORA,3 credits,COLL (CASE) Culture Studies: Global Civ & Culture (187); IUB GenEd World Culture credit (79),"Introduction to the history, culture, music, and body movements of dances in the African American and African Diaspora tradition with a focus on African-derived dances, primarily from Cuba, Puerto Rico, and America. Instruction through classroom lectures, discussions, videos, readings, and movement sessions.",Fall,"Class #: Open | TuTh
Tuesday, Thursday
11:55 AM–2:25 PM
Eight Week - Second
10/20/2025–12/19/2025 | TH A217 | Stafford Berry | 19/40
Waitlist 0"
AAAD-A 264,HISTORY OF SPORT & THE AFRICAN AMERICAN EXPERIENCE,3 credits,COLL (CASE) Culture Studies: Diversity in U.S. (51); COLL (CASE) S&H Breadth of Inquiry credit (375); IUB GenEd S&H credit (166),Examination of the historical participation and contributions of African Americans in sport. Students study African American sports pioneers and the social conditions affecting their participation. Period studied includes pre-slavery to the civil rights era (1500s to 1960s).,Fall,
AAAD-A 295,SURVEY OF HIP HOP,3 credits,COLL (CASE) A&H Breadth of Inquiry credit (383); COLL (CASE) Culture Studies: Diversity in U.S. (51); IUB GenEd A&H credit (190),"Examines rap music and hip hop culture as artistic and socio-cultural phenomena with emphasis on historical, cultural, economic, and political contexts. Topics include the coexistence of various hip hop styles, their appropriation by the music industry, and controversies resulting from the exploitation of hip hop as a commodity for national and global consumption.","Summer, Fall","Class #: Closed | MW
Monday, Wednesday
2:20 PM–3:35 PM
Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | Fernando Orejuela | 0/90
Waitlist 10"
AAAD-A 337,SOUL REVUE: ADVANCED STUDIES AND PRACTICES,2 credits,,"Focuses on music industry concerns related to the ensemble's live presentations of Black popular music. Explores how Black popular music is manifested within the broader context of the music industry. Readings explore music industry structures and practices (copyright law, publishing, creative production, etc.) that directly impact African American artists' creative output and livelihood.","Summer, Fall","Class #: Open | TuTh
Tuesday, Thursday
4:20 PM–6:20 PM
Regular Academic Session
8/25/2025–12/19/2025 | TH A111 | James Strong | 34/40
Waitlist 0"
AAAD-A 338,AFRICAN AMERICAN DANCE COMPANY: ADVANCED STUDIES AND PRACTICES,2 credits,,Students learn dance technique and experience performance from the perspective of the African American and African diaspora. Students perform in choreographic works created by the director and in works produced from student collaborative projects.,"Summer, Fall","Class #: Open | TuTh
Tuesday, Thursday
4:20 PM–7:20 PM
Regular Academic Session
8/25/2025–12/19/2025 | TH A217 | Stafford Berry | 10/10
Waitlist 0"
AAAD-A 339,AFRICAN AMERICAN CHORAL ENSEMBLE: ADVANCED STUDIES AND PRACTICES,2 credits,,"Continues choral ensemble participation and the goals of A110. Through meetings with the instructor, students may complete a research project, and develop advanced-level choral leadership skills in vocal techniques, advanced sight reading, and intermediate piano skills. Students will organize and perform in small ensembles to demonstrate their abilities to perform Black choral music.","Summer, Fall","Class #: Open | MW
Monday, Wednesday
3:10 PM–4:40 PM
MW
Monday, Wednesday
3:10 PM–4:40 PM
MW
Monday, Wednesday
3:10 PM–4:40 PM
Regular Academic Session
8/25/2025–12/19/2025 | HD TBA
TH A219
TH A111 | Raymond Wise | 28/40
Waitlist 0"
AAAD-A 355,AFRICAN-AMERICAN HISTORY I,3 credits,COLL (CASE) Culture Studies: Diversity in U.S. (51); COLL (CASE) S&H Breadth of Inquiry credit (375),,Fall,"Class #: Closed | MW
Monday, Wednesday
11:10 AM–12:25 PM
Regular Academic Session
8/25/2025–12/19/2025 | WH 106 | Randal Jelks | 0/35
Waitlist 2"
AAAD-A 379,EARLY BLACK AMERICAN WRITING,3 credits,COLL (CASE) A&H Breadth of Inquiry credit (383); COLL (CASE) Culture Studies: Diversity in U.S. (51),,Fall,"Class #: Closed | TuTh
Tuesday, Thursday
9:35 AM–10:50 AM
Regular Academic Session
8/25/2025–12/19/2025 | SY 001 | Maria Hamilton Abegunde | 0/25
Waitlist 1"
AAAD-A 386,BLACK FEMINIST PERSPECTIVES,3 credits,COLL (CASE) Culture Studies: Diversity in U.S. (51); COLL (CASE) S&H Breadth of Inquiry credit (375),"Examination of the history, development, and manifestation of feminist consciousness among African American women. The course is particularly concerned with how black women's lived experience defines that consciousness, and the differing impact it has among various groups of black women, and in their larger social, political, cultural communities.",Fall,"Class #: Closed | TuTh
Tuesday, Thursday
12:45 PM–2:00 PM
Regular Academic Session
8/25/2025–12/19/2025 | WH 104 | Elena Guzman | 0/32
Waitlist 0"
AAAD-A 387,BLACK MIGRATION,3 credits,COLL (CASE) Culture Studies: Global Civ & Culture (187); COLL (CASE) S&H Breadth of Inquiry credit (375),"Explores the process, patterns, and paradoxes of the incorporation of individuals and groups identified and/or perceived as ""immigrants"" from a comparative-interdisciplinary perspective. Focuses on persons from ""sending"" countries in Africa, the Caribbean, and Asia to the United States, and also examines developments in other labor-importing, post-industrial countries such as France and England in relation to the people who settle there.",Fall,"Class #: Open | TuTh
Tuesday, Thursday
12:45 PM–2:00 PM
Regular Academic Session
8/25/2025–12/19/2025 | TV 226 | Candis Smith | 18/35
Waitlist 0"
