program_code,program_name,requirement_group_id,requirement_type,group_label,n_required,course_id
KELLEY-KELLEYICORESTANDARD,Kelley iCore (Standard),KELLEY-KELLEYICORESTANDARD-G01,POOL,icore_standard list,,BUS-F370
KELLEY-KELLEYICORESTANDARD,Kelley iCore (Standard),KELLEY-KELLEYICORESTANDARD-G01,POOL,icore_standard list,,BUS-M370
KELLEY-KELLEYICORESTANDARD,Kelley iCore (Standard),KELLEY-KELLEYICORESTANDARD-G01,POOL,icore_standard list,,BUS-P370
KELLEY-KELLEYICORESTANDARD,Kelley iCore (Standard),KELLEY-KELLEYICORESTANDARD-G01,POOL,icore_standard list,,BUS-Z370
KELLEY-KELLEYICORESTANDARD,Kelley iCore (Standard),KELLEY-KELLEYICORESTANDARD-G01,POOL,icore_standard list,,BUS-F304
KELLEY-KELLEYICORESTANDARD,Kelley iCore (Standard),KELLEY-KELLEYICORESTANDARD-G01,POOL,icore_standard list,,BUS-J304
KELLEY-KELLEYICORESTANDARD,Kelley iCore (Standard),KELLEY-KELLEYICORESTANDARD-G01,POOL,icore_standard list,,BUS-M304
KELLEY-KELLEYICORESTANDARD,Kelley iCore (Standard),KELLEY-KELLEYICORESTANDARD-G01,POOL,icore_standard list,,BUS-P304
KELLEY-KELLEYICOREPREREQUISIT,Kelley iCore (Prerequisites),KELLEY-KELLEYICOREPREREQUISIT-G01,POOL,icore_prereqs list,,ENG-W131
KELLEY-KELLEYICOREPREREQUISIT,Kelley iCore (Prerequisites),KELLEY-KELLEYICOREPREREQUISIT-G01,POOL,icore_prereqs list,,ENG-W170
KELLEY-KELLEYICOREPREREQUISIT,Kelley iCore (Prerequisites),KELLEY-KELLEYICOREPREREQUISIT-G01,POOL,icore_prereqs list,,ENG-W171
KELLEY-KELLEYICOREPREREQUISIT,Kelley iCore (Prerequisites),KELLEY-KELLEYICOREPREREQUISIT-G01,POOL,icore_prereqs list,,CMLT-C110
KELLEY-KELLEYICOREPREREQUISIT,Kelley iCore (Prerequisites),KELLEY-KELLEYICOREPREREQUISIT-G01,POOL,icore_prereqs list,,BUS-C104
KELLEY-KELLEYICOREPREREQUISIT,Kelley iCore (Prerequisites),KELLEY-KELLEYICOREPREREQUISIT-G01,POOL,icore_prereqs list,,BUS-T175
KELLEY-KELLEYICOREPREREQUISIT,Kelley iCore (Prerequisites),KELLEY-KELLEYICOREPREREQUISIT-G02,ANY_OF,"Math for Business: Complete one of the following:MATH-B 110: Mathematics for Business and Public Affairs MATH-M 119: Brief Survey of CalculusAccepted Calculus substitutes: MATH-M 211 and MATH-S 211 (H)Note: MATH-M 118: Finite Math DOES NOT fulfill this requirement for students who matriculated to IUB in summer 2025 or later.,(3 credits),",1.0,MATH-B110
KELLEY-KELLEYICOREPREREQUISIT,Kelley iCore (Prerequisites),KELLEY-KELLEYICOREPREREQUISIT-G02,ANY_OF,"Math for Business: Complete one of the following:MATH-B 110: Mathematics for Business and Public Affairs MATH-M 119: Brief Survey of CalculusAccepted Calculus substitutes: MATH-M 211 and MATH-S 211 (H)Note: MATH-M 118: Finite Math DOES NOT fulfill this requirement for students who matriculated to IUB in summer 2025 or later.,(3 credits),",1.0,BUS-K201
KELLEY-KELLEYICOREPREREQUISIT,Kelley iCore (Prerequisites),KELLEY-KELLEYICOREPREREQUISIT-G02,ANY_OF,"Math for Business: Complete one of the following:MATH-B 110: Mathematics for Business and Public Affairs MATH-M 119: Brief Survey of CalculusAccepted Calculus substitutes: MATH-M 211 and MATH-S 211 (H)Note: MATH-M 118: Finite Math DOES NOT fulfill this requirement for students who matriculated to IUB in summer 2025 or later.,(3 credits),",1.0,BUS-A100
KELLEY-KELLEYICOREPREREQUISIT,Kelley iCore (Prerequisites),KELLEY-KELLEYICOREPREREQUISIT-G02,ANY_OF,"Math for Business: Complete one of the following:MATH-B 110: Mathematics for Business and Public Affairs MATH-M 119: Brief Survey of CalculusAccepted Calculus substitutes: MATH-M 211 and MATH-S 211 (H)Note: MATH-M 118: Finite Math DOES NOT fulfill this requirement for students who matriculated to IUB in summer 2025 or later.,(3 credits),",1.0,ECON-B251
KELLEY-KELLEYICOREPREREQUISIT,Kelley iCore (Prerequisites),KELLEY-KELLEYICOREPREREQUISIT-G02,ANY_OF,"Math for Business: Complete one of the following:MATH-B 110: Mathematics for Business and Public Affairs MATH-M 119: Brief Survey of CalculusAccepted Calculus substitutes: MATH-M 211 and MATH-S 211 (H)Note: MATH-M 118: Finite Math DOES NOT fulfill this requirement for students who matriculated to IUB in summer 2025 or later.,(3 credits),",1.0,BUS-C204
KELLEY-KELLEYICOREPREREQUISIT,Kelley iCore (Prerequisites),KELLEY-KELLEYICOREPREREQUISIT-G02,ANY_OF,"Math for Business: Complete one of the following:MATH-B 110: Mathematics for Business and Public Affairs MATH-M 119: Brief Survey of CalculusAccepted Calculus substitutes: MATH-M 211 and MATH-S 211 (H)Note: MATH-M 118: Finite Math DOES NOT fulfill this requirement for students who matriculated to IUB in summer 2025 or later.,(3 credits),",1.0,BUS-T275
KELLEY-KELLEYICOREPREREQUISIT,Kelley iCore (Prerequisites),KELLEY-KELLEYICOREPREREQUISIT-G02,ANY_OF,"Math for Business: Complete one of the following:MATH-B 110: Mathematics for Business and Public Affairs MATH-M 119: Brief Survey of CalculusAccepted Calculus substitutes: MATH-M 211 and MATH-S 211 (H)Note: MATH-M 118: Finite Math DOES NOT fulfill this requirement for students who matriculated to IUB in summer 2025 or later.,(3 credits),",1.0,BUS-T175
KELLEY-KELLEYICOREPREREQUISIT,Kelley iCore (Prerequisites),KELLEY-KELLEYICOREPREREQUISIT-G02,ANY_OF,"Math for Business: Complete one of the following:MATH-B 110: Mathematics for Business and Public Affairs MATH-M 119: Brief Survey of CalculusAccepted Calculus substitutes: MATH-M 211 and MATH-S 211 (H)Note: MATH-M 118: Finite Math DOES NOT fulfill this requirement for students who matriculated to IUB in summer 2025 or later.,(3 credits),",1.0,BUS-K303
KELLEY-KELLEYICOREPREREQUISIT,Kelley iCore (Prerequisites),KELLEY-KELLEYICOREPREREQUISIT-G02,ANY_OF,"Math for Business: Complete one of the following:MATH-B 110: Mathematics for Business and Public Affairs MATH-M 119: Brief Survey of CalculusAccepted Calculus substitutes: MATH-M 211 and MATH-S 211 (H)Note: MATH-M 118: Finite Math DOES NOT fulfill this requirement for students who matriculated to IUB in summer 2025 or later.,(3 credits),",1.0,BUS-L201
KELLEY-KELLEYICOREPREREQUISIT,Kelley iCore (Prerequisites),KELLEY-KELLEYICOREPREREQUISIT-G02,ANY_OF,"Math for Business: Complete one of the following:MATH-B 110: Mathematics for Business and Public Affairs MATH-M 119: Brief Survey of CalculusAccepted Calculus substitutes: MATH-M 211 and MATH-S 211 (H)Note: MATH-M 118: Finite Math DOES NOT fulfill this requirement for students who matriculated to IUB in summer 2025 or later.,(3 credits),",1.0,BUS-A304
KELLEY-KELLEYICOREPREREQUISIT,Kelley iCore (Prerequisites),KELLEY-KELLEYICOREPREREQUISIT-G02,ANY_OF,"Math for Business: Complete one of the following:MATH-B 110: Mathematics for Business and Public Affairs MATH-M 119: Brief Survey of CalculusAccepted Calculus substitutes: MATH-M 211 and MATH-S 211 (H)Note: MATH-M 118: Finite Math DOES NOT fulfill this requirement for students who matriculated to IUB in summer 2025 or later.,(3 credits),",1.0,BUS-A306
KELLEY-KELLEYICOREPREREQUISIT,Kelley iCore (Prerequisites),KELLEY-KELLEYICOREPREREQUISIT-G03,ANY_OF,"""Statistics for Business: Complete one of the following:ECON-E 370 Statistical Analysis for Business and Economics P: MATH-B 110 (or MATH-M 118 or equivalent)STAT-S 301: Applied Statistical Methods for Business P: MATH-B 110, MATH-M 119 or equivalent (or MATH-M 118 or equivalent)Accepted substitutes: ECON-S 370 (H), MATH-M 365, STAT-S 350(P: Varies by course)"",(3 credits),",1.0,ECON-E370
KELLEY-KELLEYICOREPREREQUISIT,Kelley iCore (Prerequisites),KELLEY-KELLEYICOREPREREQUISIT-G03,ANY_OF,"""Statistics for Business: Complete one of the following:ECON-E 370 Statistical Analysis for Business and Economics P: MATH-B 110 (or MATH-M 118 or equivalent)STAT-S 301: Applied Statistical Methods for Business P: MATH-B 110, MATH-M 119 or equivalent (or MATH-M 118 or equivalent)Accepted substitutes: ECON-S 370 (H), MATH-M 365, STAT-S 350(P: Varies by course)"",(3 credits),",1.0,MATH-B110
KELLEY-KELLEYICOREPREREQUISIT,Kelley iCore (Prerequisites),KELLEY-KELLEYICOREPREREQUISIT-G03,ANY_OF,"""Statistics for Business: Complete one of the following:ECON-E 370 Statistical Analysis for Business and Economics P: MATH-B 110 (or MATH-M 118 or equivalent)STAT-S 301: Applied Statistical Methods for Business P: MATH-B 110, MATH-M 119 or equivalent (or MATH-M 118 or equivalent)Accepted substitutes: ECON-S 370 (H), MATH-M 365, STAT-S 350(P: Varies by course)"",(3 credits),",1.0,MATH-M118
KELLEY-KELLEYICOREPREREQUISIT,Kelley iCore (Prerequisites),KELLEY-KELLEYICOREPREREQUISIT-G03,ANY_OF,"""Statistics for Business: Complete one of the following:ECON-E 370 Statistical Analysis for Business and Economics P: MATH-B 110 (or MATH-M 118 or equivalent)STAT-S 301: Applied Statistical Methods for Business P: MATH-B 110, MATH-M 119 or equivalent (or MATH-M 118 or equivalent)Accepted substitutes: ECON-S 370 (H), MATH-M 365, STAT-S 350(P: Varies by course)"",(3 credits),",1.0,STAT-S301
KELLEY-KELLEYICOREPREREQUISIT,Kelley iCore (Prerequisites),KELLEY-KELLEYICOREPREREQUISIT-G03,ANY_OF,"""Statistics for Business: Complete one of the following:ECON-E 370 Statistical Analysis for Business and Economics P: MATH-B 110 (or MATH-M 118 or equivalent)STAT-S 301: Applied Statistical Methods for Business P: MATH-B 110, MATH-M 119 or equivalent (or MATH-M 118 or equivalent)Accepted substitutes: ECON-S 370 (H), MATH-M 365, STAT-S 350(P: Varies by course)"",(3 credits),",1.0,MATH-M119
KELLEY-KELLEYICOREPREREQUISIT,Kelley iCore (Prerequisites),KELLEY-KELLEYICOREPREREQUISIT-G03,ANY_OF,"""Statistics for Business: Complete one of the following:ECON-E 370 Statistical Analysis for Business and Economics P: MATH-B 110 (or MATH-M 118 or equivalent)STAT-S 301: Applied Statistical Methods for Business P: MATH-B 110, MATH-M 119 or equivalent (or MATH-M 118 or equivalent)Accepted substitutes: ECON-S 370 (H), MATH-M 365, STAT-S 350(P: Varies by course)"",(3 credits),",1.0,BUS-G202
