course_id,subject,catalog_number,title,description,credits_min,credits_max,gened_attributes,career,campus,term,component,class_number,instructor_name,meeting_days,meeting_start,meeting_end,location,prereq_text,coreq_text,notes
BUS-F370,BUS,F370,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-M370,BUS,M370,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-P370,BUS,P370,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-Z370,BUS,Z370,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-F304,BUS,F304,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-J304,BUS,J304,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-M304,BUS,M304,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-P304,BUS,P304,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENG-W131,ENG,W131,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENG-W170,ENG,W170,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENG-W171,ENG,W171,,,,,,Undergraduate,IUB,,,,,,,,,,,
CMLT-C110,CMLT,C110,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-C104,BUS,C104,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-T175,BUS,T175,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-B110,MATH,B110,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-K201,BUS,K201,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-A100,BUS,A100,,,,,,Undergraduate,IUB,,,,,,,,,,,
ECON-B251,ECON,B251,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-C204,BUS,C204,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-T275,BUS,T275,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-K303,BUS,K303,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-L201,BUS,L201,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-A304,BUS,A304,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-A306,BUS,A306,,,,,,Undergraduate,IUB,,,,,,,,,,,
ECON-E370,ECON,E370,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-M118,MATH,M118,,,,,,Undergraduate,IUB,,,,,,,,,,,
STAT-S301,STAT,S301,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-M119,MATH,M119,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-G202,BUS,G202,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-D270,BUS,D270,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-D271,BUS,D271,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-W271,BUS,W271,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-X272,BUS,X272,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-G272,BUS,G272,,,,,,Undergraduate,IUB,,,,,,,,,,,
CON-B252,CON,B252,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-L375,BUS,L375,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-J375,BUS,J375,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-T375,BUS,T375,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-Z304,BUS,Z304,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-A424,BUS,A424,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-A312,BUS,A312,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-A337,BUS,A337,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-K304,BUS,K304,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-S400,BUS,S400,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-A420,BUS,A420,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-A422,BUS,A422,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-G350,BUS,G350,,,,,,Undergraduate,IUB,,,,,,,,,,,
ECON-S370,ECON,S370,,,,,,Undergraduate,IUB,,,,,,,,,,,
STAT-S350,STAT,S350,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-M365,MATH,M365,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-W235,BUS,W235,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-W212,BUS,W212,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-W409,BUS,W409,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-W313,BUS,W313,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-F317,BUS,F317,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-D411,BUS,D411,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-271,BUS,271,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-272,BUS,272,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-M422,BUS,M422,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-W326,BUS,W326,,,,,,Undergraduate,IUB,,,,,,,,,,,
