school,program_code,program_name,degree_type,catalog_year,cip_code,min_total_credits,min_residency_credits,min_gpa,delivery,campus,notes
Kelley School of Business,KELLEY-KELLEYICORESTANDARD,Kelley iCore (Standard),BS,2025-2026,,,,,in-person,IUB,Parsed from Kelley TXT
Kelley School of Business,KELLEY-KELLEYICOREPREREQUISIT,Kelley iCore (Prerequisites),BS,2025-2026,,,,,in-person,IUB,Parsed from Kelley TXT
Kelley School of Business,KELLEY-KELLEYGENEDREQUIREMENT,Kelley GenEd Requirements,BS,2025-2026,,,,,in-person,IUB,Parsed from Kelley TXT
Kelley School of Business,KELLEY-KELLEYOTHERREQUIREDCOU,Kelley Other Required Courses,BS,2025-2026,,,,,in-person,IUB,Parsed from Kelley TXT
Kelley School of Business,KELLEY-MAJORACCOUNTINGBUSA329,"Major,Accounting,BUS-A329,3 credits,) P: BUS-A 304/307 and BUS-A 306/309 with grades of C or higher,required",BS,2025-2026,,,,,in-person,IUB,Parsed from Kelley TXT
Kelley School of Business,KELLEY-MAJORACCOUNTINGBUSA355,"Major,Accounting,BUS-A355,3 credits,) P: BUS-A 304/307 with grade of C or higher,elective",BS,2025-2026,,,,,in-person,IUB,Parsed from Kelley TXT
Kelley School of Business,KELLEY-MAJORECONOMICCONSULTIN,"Major,Economic Consulting,BUS-G345,3 credits,) P: ECON-B 251/S251 and ECON-B 252 with grades of C or higher,required",BS,2025-2026,,,,,in-person,IUB,Parsed from Kelley TXT
Kelley School of Business,KELLEY-MAJORENTREPRENEURSHIPA,"Major,Entrepreneurship and Corporate Innovation,BUS-W212,3 credits,) P: None,required",BS,2025-2026,,,,,in-person,IUB,Parsed from Kelley TXT
Kelley School of Business,KELLEY-MAJORFINANCEBUSF3053CR,"Major,Finance,BUS-F305,3 credits,) P: BUS-F370 or BUS-F304 with a grade of C+ or higher,required",BS,2025-2026,,,,,in-person,IUB,Parsed from Kelley TXT
Kelley School of Business,KELLEY-MAJORINFORMATIONSYSTEM,"Major,Information Systems,BUS-S364,3 credits,) P: BUS-K201 or BUS-K204 with a C or higher,required",BS,2025-2026,,,,,in-person,IUB,Parsed from Kelley TXT
