program_code,program_name,requirement_group_id,requirement_type,group_label,n_required,course_id
LUDDY-DATASCIENCEBS,Data Science (B.S.),LUDDY-DATASCIENCEBS-G01,MIN_CREDITS,Students must complete at least 12 credit hours of course work in the major field of study on the Bloomington campus.,12.0,ILS-Z410
LUDDY-DATASCIENCEBS,Data Science (B.S.),LUDDY-DATASCIENCEBS-G01,MIN_CREDITS,Students must complete at least 12 credit hours of course work in the major field of study on the Bloomington campus.,12.0,MATH-E201
LUDDY-DATASCIENCEBS,Data Science (B.S.),LUDDY-DATASCIENCEBS-G01,MIN_CREDITS,Students must complete at least 12 credit hours of course work in the major field of study on the Bloomington campus.,12.0,MATH-E265
LUDDY-DATASCIENCEBS,Data Science (B.S.),LUDDY-DATASCIENCEBS-G01,MIN_CREDITS,Students must complete at least 12 credit hours of course work in the major field of study on the Bloomington campus.,12.0,MATH-M211
LUDDY-DATASCIENCEBS,Data Science (B.S.),LUDDY-DATASCIENCEBS-G01,MIN_CREDITS,Students must complete at least 12 credit hours of course work in the major field of study on the Bloomington campus.,12.0,CSCI-C200
LUDDY-DATASCIENCEBS,Data Science (B.S.),LUDDY-DATASCIENCEBS-G01,MIN_CREDITS,Students must complete at least 12 credit hours of course work in the major field of study on the Bloomington campus.,12.0,CSCI-C241
LUDDY-DATASCIENCEBS,Data Science (B.S.),LUDDY-DATASCIENCEBS-G01,MIN_CREDITS,Students must complete at least 12 credit hours of course work in the major field of study on the Bloomington campus.,12.0,CSCI-A310
LUDDY-DATASCIENCEBS,Data Science (B.S.),LUDDY-DATASCIENCEBS-G01,MIN_CREDITS,Students must complete at least 12 credit hours of course work in the major field of study on the Bloomington campus.,12.0,DSCI-D321
LUDDY-DATASCIENCEBS,Data Science (B.S.),LUDDY-DATASCIENCEBS-G01,MIN_CREDITS,Students must complete at least 12 credit hours of course work in the major field of study on the Bloomington campus.,12.0,DSCI-D351
LUDDY-DATASCIENCEBS,Data Science (B.S.),LUDDY-DATASCIENCEBS-G01,MIN_CREDITS,Students must complete at least 12 credit hours of course work in the major field of study on the Bloomington campus.,12.0,STAT-S350
LUDDY-DATASCIENCEBS,Data Science (B.S.),LUDDY-DATASCIENCEBS-G01,MIN_CREDITS,Students must complete at least 12 credit hours of course work in the major field of study on the Bloomington campus.,12.0,STAT-S352
LUDDY-DATASCIENCEBS,Data Science (B.S.),LUDDY-DATASCIENCEBS-G02,ANY_OF,Students must pick one of the following to fulfill the capstone for a total of 6 cr.,1.0,DSCI-D498
LUDDY-DATASCIENCEBS,Data Science (B.S.),LUDDY-DATASCIENCEBS-G02,ANY_OF,Students must pick one of the following to fulfill the capstone for a total of 6 cr.,1.0,DSCI-D499
LUDDY-DATASCIENCEBS,Data Science (B.S.),LUDDY-DATASCIENCEBS-G02,ANY_OF,Students must pick one of the following to fulfill the capstone for a total of 6 cr.,1.0,CSCI-Y399
LUDDY-DATASCIENCEBS,Data Science (B.S.),LUDDY-DATASCIENCEBS-G02,ANY_OF,Students must pick one of the following to fulfill the capstone for a total of 6 cr.,1.0,BIOL-L388
LUDDY-DATASCIENCEBS,Data Science (B.S.),LUDDY-DATASCIENCEBS-G02,ANY_OF,Students must pick one of the following to fulfill the capstone for a total of 6 cr.,1.0,CSCI-B363
LUDDY-DATASCIENCEBS,Data Science (B.S.),LUDDY-DATASCIENCEBS-G02,ANY_OF,Students must pick one of the following to fulfill the capstone for a total of 6 cr.,1.0,CSCI-B490
LUDDY-DATASCIENCEBS,Data Science (B.S.),LUDDY-DATASCIENCEBS-G02,ANY_OF,Students must pick one of the following to fulfill the capstone for a total of 6 cr.,1.0,ENGR-E340
LUDDY-DATASCIENCEBS,Data Science (B.S.),LUDDY-DATASCIENCEBS-G02,ANY_OF,Students must pick one of the following to fulfill the capstone for a total of 6 cr.,1.0,ENGR-E399
LUDDY-DATASCIENCEBS,Data Science (B.S.),LUDDY-DATASCIENCEBS-G02,ANY_OF,Students must pick one of the following to fulfill the capstone for a total of 6 cr.,1.0,INFO-I407
LUDDY-DATASCIENCEBS,Data Science (B.S.),LUDDY-DATASCIENCEBS-G02,ANY_OF,Students must pick one of the following to fulfill the capstone for a total of 6 cr.,1.0,STAT-S330
LUDDY-DATASCIENCEBS,Data Science (B.S.),LUDDY-DATASCIENCEBS-G02,ANY_OF,Students must pick one of the following to fulfill the capstone for a total of 6 cr.,1.0,CSCI-B365
LUDDY-DATASCIENCEBS,Data Science (B.S.),LUDDY-DATASCIENCEBS-G02,ANY_OF,Students must pick one of the following to fulfill the capstone for a total of 6 cr.,1.0,ENGR-E483
LUDDY-DATASCIENCEBS,Data Science (B.S.),LUDDY-DATASCIENCEBS-G02,ANY_OF,Students must pick one of the following to fulfill the capstone for a total of 6 cr.,1.0,ENGR-E484
LUDDY-DATASCIENCEBS,Data Science (B.S.),LUDDY-DATASCIENCEBS-G02,ANY_OF,Students must pick one of the following to fulfill the capstone for a total of 6 cr.,1.0,INFO-I422
LUDDY-DATASCIENCEBS,Data Science (B.S.),LUDDY-DATASCIENCEBS-G02,ANY_OF,Students must pick one of the following to fulfill the capstone for a total of 6 cr.,1.0,STAT-S470
LUDDY-DATASCIENCEBS,Data Science (B.S.),LUDDY-DATASCIENCEBS-G02,ANY_OF,Students must pick one of the following to fulfill the capstone for a total of 6 cr.,1.0,INFO-I345
