course_id,subject,catalog_number,title,description,credits_min,credits_max,gened_attributes,career,campus,term,component,class_number,instructor_name,meeting_days,meeting_start,meeting_end,location,prereq_text,coreq_text,notes
ILS-Z410,ILS,Z410,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-E201,MATH,E201,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-E265,MATH,E265,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-M211,MATH,M211,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-C200,CSCI,C200,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-C241,CSCI,C241,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-A310,CSCI,A310,,,,,,Undergraduate,IUB,,,,,,,,,,,
DSCI-D321,DSCI,D321,,,,,,Undergraduate,IUB,,,,,,,,,,,
DSCI-D351,DSCI,D351,,,,,,Undergraduate,IUB,,,,,,,,,,,
STAT-S350,STAT,S350,,,,,,Undergraduate,IUB,,,,,,,,,,,
STAT-S352,STAT,S352,,,,,,Undergraduate,IUB,,,,,,,,,,,
DSCI-D498,DSCI,D498,,,,,,Undergraduate,IUB,,,,,,,,,,,
DSCI-D499,DSCI,D499,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-Y399,CSCI,Y399,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-L388,BIOL,L388,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-B363,CSCI,B363,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-B490,CSCI,B490,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENGR-E340,ENGR,E340,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENGR-E399,ENGR,E399,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I407,INFO,I407,,,,,,Undergraduate,IUB,,,,,,,,,,,
STAT-S330,STAT,S330,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-B365,CSCI,B365,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENGR-E483,ENGR,E483,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENGR-E484,ENGR,E484,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I422,INFO,I422,,,,,,Undergraduate,IUB,,,,,,,,,,,
STAT-S470,STAT,S470,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I345,INFO,I345,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I346,INFO,I346,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I436,INFO,I436,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I437,INFO,I437,,,,,,Undergraduate,IUB,,,,,,,,,,,
