school,program_code,program_name,degree_type,catalog_year,cip_code,min_total_credits,min_residency_credits,min_gpa,delivery,campus,notes
"Luddy School of Informatics, Computing, and Engineering",LUDDY-DATASCIENCEBS,Data Science (B.S.),BS,2025-2026,,,,,in-person,IUB,Parsed from datascience.txt
"Luddy School of Informatics, Computing, and Engineering",LUDDY-EQUIVALENTHONORSVERSIO,** Equivalent honors versions of regular courses may substitute throughout the certificate or minor. **,BS,2025-2026,,,,,in-person,IUB,Parsed from minor.txt
"Luddy School of Informatics, Computing, and Engineering",LUDDY-SEEMOREINFORMATIONABOU,See more information about the minor here.,BS,2025-2026,,,,,in-person,IUB,Parsed from minor.txt
"Luddy School of Informatics, Computing, and Engineering",LUDDY-AMINIMUMGRADEOFCISREQU,A minimum grade of C- is required for a course to fulfill a requirement in the minor.,BS,2025-2026,,,,,in-person,IUB,Parsed from minor.txt
"Luddy School of Informatics, Computing, and Engineering",LUDDY-SEEMOREINFORMAITONABOU,See more informaiton about the minor here.,BS,2025-2026,,,,,in-person,IUB,Parsed from minor.txt
"Luddy School of Informatics, Computing, and Engineering",LUDDY-STUDENTSMAYOBTAINAMINO,Students may obtain a minor in Data & Network Analytics by successfully completing 15 credit hours.,BS,2025-2026,,,,,in-person,IUB,Parsed from minor.txt
"Luddy School of Informatics, Computing, and Engineering",LUDDY-AMINIMUMGRADEOFCUNLESS,A minimum grade of C- (unless otherwise noted) is required for a course to fulfill a requirement in the minor.,BS,2025-2026,,,,,in-person,IUB,Parsed from minor.txt
"Luddy School of Informatics, Computing, and Engineering",LUDDY-FINDMOREINFORMATIONABO,Find more information about the minor here.,BS,2025-2026,,,,,in-person,IUB,Parsed from minor.txt
"Luddy School of Informatics, Computing, and Engineering",LUDDY-COMPUTERSCIENCEMAJORSM,Computer Science majors may not claim this minor.,BS/BA,2025-2026,,,,,in-person,IUB,Parsed from minor.txt
"Luddy School of Informatics, Computing, and Engineering",LUDDY-11MINORININTELLIGENTSY,11. Minor in Intelligent Systems Engineering,Minor,2025-2026,,,,,in-person,IUB,Parsed from minor.txt
"Luddy School of Informatics, Computing, and Engineering",LUDDY-13MINORINVIRTUALREALIT,13. Minor in Virtual Reality,Minor,2025-2026,,,,,in-person,IUB,Parsed from minor.txt
"Luddy School of Informatics, Computing, and Engineering",LUDDY-AMINIMUMOFCISREQUIREDF,A minimum of C- is required for a course to fulfill a requirement in the minor.,BS,2025-2026,,,,,in-person,IUB,Parsed from minor.txt
"Luddy School of Informatics, Computing, and Engineering",LUDDY-14MINORINWEBDESIGNANDD,14. Minor in Web Design and Development,Minor,2025-2026,,,,,in-person,IUB,Parsed from minor.txt
"Luddy School of Informatics, Computing, and Engineering",LUDDY-ANEXCEPTIONTOTHEABOVEI,"** An exception to the above, if different from the school offering the minor:",BS,2025-2026,,,,,in-person,IUB,Parsed from minor.txt
"Luddy School of Informatics, Computing, and Engineering",LUDDY-INTELLIGENTSYSTEMSENGI,Intelligent Systems Engineering (B.S.E.),BSE,2025-2026,,,,,in-person,IUB,Parsed from ise.txt
"Luddy School of Informatics, Computing, and Engineering",LUDDY-COMPUTERSCIENCEBSBA,Computer Science (B.S./B.A.),BS/BA,2025-2026,,,,,in-person,IUB,Parsed from cs.txt
"Luddy School of Informatics, Computing, and Engineering",LUDDY-INFORMATICSBS,Informatics (B.S.),BS,2025-2026,,,,,in-person,IUB,Parsed from informatics.txt
