program_code,program_name,requirement_group_id,requirement_type,group_label,n_required,course_id
ONEILL-HEALTHCAREMANAGEMENT,Healthcare Management and Policy (B.S.),ONEILL-HEALTHCAREMANAGEMENT-G01,ANY_OF,Oral Communication (One of the following courses),1.0,SPEA-V326
ONEILL-HEALTHCAREMANAGEMENT,Healthcare Management and Policy (B.S.),ONEILL-HEALTHCAREMANAGEMENT-G01,ANY_OF,Oral Communication (One of the following courses),1.0,BUS-C104
ONEILL-HEALTHCAREMANAGEMENT,Healthcare Management and Policy (B.S.),ONEILL-HEALTHCAREMANAGEMENT-G01,ANY_OF,Oral Communication (One of the following courses),1.0,BUS-C300
ONEILL-HEALTHCAREMANAGEMENT,Healthcare Management and Policy (B.S.),ONEILL-HEALTHCAREMANAGEMENT-G02,ANY_OF,Computer Course (One of the following courses),1.0,SPEA-V261
ONEILL-HEALTHCAREMANAGEMENT,Healthcare Management and Policy (B.S.),ONEILL-HEALTHCAREMANAGEMENT-G02,ANY_OF,Computer Course (One of the following courses),1.0,BUS-K201
ONEILL-HEALTHCAREMANAGEMENT,Healthcare Management and Policy (B.S.),ONEILL-HEALTHCAREMANAGEMENT-G02,ANY_OF,Computer Course (One of the following courses),1.0,CSCI-A110
ONEILL-HEALTHCAREMANAGEMENT,Healthcare Management and Policy (B.S.),ONEILL-HEALTHCAREMANAGEMENT-G02,ANY_OF,Computer Course (One of the following courses),1.0,MATH-M014
ONEILL-HEALTHCAREMANAGEMENT,Healthcare Management and Policy (B.S.),ONEILL-HEALTHCAREMANAGEMENT-G02,ANY_OF,Computer Course (One of the following courses),1.0,CSCI-A201
ONEILL-HEALTHCAREMANAGEMENT,Healthcare Management and Policy (B.S.),ONEILL-HEALTHCAREMANAGEMENT-G02,ANY_OF,Computer Course (One of the following courses),1.0,INFO-I101
ONEILL-HEALTHCAREMANAGEMENT,Healthcare Management and Policy (B.S.),ONEILL-HEALTHCAREMANAGEMENT-G02,ANY_OF,Computer Course (One of the following courses),1.0,SPEA-K300
ONEILL-HEALTHCAREMANAGEMENT,Healthcare Management and Policy (B.S.),ONEILL-HEALTHCAREMANAGEMENT-G02,ANY_OF,Computer Course (One of the following courses),1.0,MATH-M118
ONEILL-HEALTHCAREMANAGEMENT,Healthcare Management and Policy (B.S.),ONEILL-HEALTHCAREMANAGEMENT-G02,ANY_OF,Computer Course (One of the following courses),1.0,ECON-E251
ONEILL-HEALTHCAREMANAGEMENT,Healthcare Management and Policy (B.S.),ONEILL-HEALTHCAREMANAGEMENT-G02,ANY_OF,Computer Course (One of the following courses),1.0,ECON-B251
ONEILL-HEALTHCAREMANAGEMENT,Healthcare Management and Policy (B.S.),ONEILL-HEALTHCAREMANAGEMENT-G02,ANY_OF,Computer Course (One of the following courses),1.0,SPEA-V202
ONEILL-HEALTHCAREMANAGEMENT,Healthcare Management and Policy (B.S.),ONEILL-HEALTHCAREMANAGEMENT-G02,ANY_OF,Computer Course (One of the following courses),1.0,SPEA-H124
ONEILL-HEALTHCAREMANAGEMENT,Healthcare Management and Policy (B.S.),ONEILL-HEALTHCAREMANAGEMENT-G02,ANY_OF,Computer Course (One of the following courses),1.0,SPEA-H322
ONEILL-HEALTHCAREMANAGEMENT,Healthcare Management and Policy (B.S.),ONEILL-HEALTHCAREMANAGEMENT-G02,ANY_OF,Computer Course (One of the following courses),1.0,SPEA-V181
ONEILL-HEALTHCAREMANAGEMENT,Healthcare Management and Policy (B.S.),ONEILL-HEALTHCAREMANAGEMENT-G03,ANY_OF,Two of the following courses:,2.0,SPEA-H267
