course_id,subject,catalog_number,title,description,credits_min,credits_max,gened_attributes,career,campus,term,component,class_number,instructor_name,meeting_days,meeting_start,meeting_end,location,prereq_text,coreq_text,notes
SPEA-V326,SPEA,V326,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-C104,BUS,C104,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-C300,BUS,C300,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V261,SPEA,V261,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-K201,BUS,K201,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-A110,CSCI,A110,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-M014,MATH,M014,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-A201,CSCI,A201,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I101,INFO,I101,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-K300,SPEA,K300,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-M118,MATH,M118,,,,,,Undergraduate,IUB,,,,,,,,,,,
ECON-E251,ECON,E251,,,,,,Undergraduate,IUB,,,,,,,,,,,
ECON-B251,ECON,B251,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V202,SPEA,V202,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-H124,SPEA,H124,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-H322,SPEA,H322,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V181,SPEA,V181,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-H267,SPEA,H267,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-H466,SPEA,H466,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-H324,SPEA,H324,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-H341,SPEA,H341,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-H352,SPEA,H352,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-H353,SPEA,H353,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-H354,SPEA,H354,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-H365,SPEA,H365,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-H374,SPEA,H374,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-H401,SPEA,H401,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-H350,SPEA,H350,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-H456,SPEA,H456,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V348,SPEA,V348,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-M025,MATH,M025,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V370,SPEA,V370,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V379,SPEA,V379,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V415,SPEA,V415,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-H402,SPEA,H402,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-H403,SPEA,H403,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-H411,SPEA,H411,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E324,SPEA,E324,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-H432,SPEA,H432,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-H455,SPEA,H455,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V275,SPEA,V275,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V373,SPEA,V373,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V378,SPEA,V378,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V409,SPEA,V409,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V432,SPEA,V432,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V450,SPEA,V450,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V482,SPEA,V482,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V491,SPEA,V491,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V499,SPEA,V499,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E183,SPEA,E183,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V182,SPEA,V182,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V184,SPEA,V184,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V185,SPEA,V185,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V186,SPEA,V186,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E272,SPEA,E272,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E332,SPEA,E332,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E340,SPEA,E340,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E363,SPEA,E363,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E476,SPEA,E476,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V424,SPEA,V424,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V236,SPEA,V236,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E311,SPEA,E311,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E410,SPEA,E410,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-H316,SPEA,H316,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E412,SPEA,E412,,,,,,Undergraduate,IUB,,,,,,,,,,,
