school,program_code,program_name,degree_type,catalog_year,cip_code,min_total_credits,min_residency_credits,min_gpa,delivery,campus,notes
O’Neill School of Public and Environmental Affairs,ONEILL-SUSTAINABILITYPROGRA,Sustainability (Program),BS,2025-2026,,,,,in-person,IUB,Parsed from sustainability.txt
O’Neill School of Public and Environmental Affairs,ONEILL-HEALTHCAREMANAGEMENT,Healthcare Management and Policy (B.S.),BS,2025-2026,,,,,in-person,IUB,Parsed from healthcare.txt
O’Neill School of Public and Environmental Affairs,ONEILL-PUBLICAFFAIRSCORE,Public Affairs Core,BS,2025-2026,,,,,in-person,IUB,Parsed from publicaffairs.txt
O’Neill School of Public and Environmental Affairs,ONEILL-ENVIRONMENTALMANAGEM,Environmental Management Major,BS,2025-2026,,,,,in-person,IUB,Parsed from publicaffairs.txt
O’Neill School of Public and Environmental Affairs,ONEILL-HUMANRESOURCEMANAGEM,Human Resource Management Major,BS,2025-2026,,,,,in-person,IUB,Parsed from publicaffairs.txt
O’Neill School of Public and Environmental Affairs,ONEILL-LAWANDPUBLICPOLICYMA,Law and Public Policy Major,BS,2025-2026,,,,,in-person,IUB,Parsed from publicaffairs.txt
O’Neill School of Public and Environmental Affairs,ONEILL-MANAGEMENTMAJOR,Management Major,BS,2025-2026,,,,,in-person,IUB,Parsed from publicaffairs.txt
O’Neill School of Public and Environmental Affairs,ONEILL-FIVEOFTHEFOLLOWINGMA,Five of the following Major courses:,BS,2025-2026,,,,,in-person,IUB,Parsed from publicaffairs.txt
O’Neill School of Public and Environmental Affairs,ONEILL-NOTETHESECOURSESAREG,"Note: These courses are grouped by topic to assist students, but students are free to take any combination of them. Courses may appear in more than one list. Courses cannot double count between Analytical, Human Resource Management, and Major courses.",BS,2025-2026,,,,,in-person,IUB,Parsed from publicaffairs.txt
O’Neill School of Public and Environmental Affairs,ONEILL-NONPROFITMANAGEMENTA,Nonprofit Management and Leadership Major,BS,2025-2026,,,,,in-person,IUB,Parsed from publicaffairs.txt
O’Neill School of Public and Environmental Affairs,ONEILL-POLICYANALYSISMAJOR,Policy Analysis Major,BS,2025-2026,,,,,in-person,IUB,Parsed from publicaffairs.txt
O’Neill School of Public and Environmental Affairs,ONEILL-PUBLICFINANCIALMANAG,Public Financial Management Major,BS,2025-2026,,,,,in-person,IUB,Parsed from publicaffairs.txt
